Country,Continent,Animal fats,Cereals - Excluding Beer,Fish Seafood,Fruits - Excluding Wine,Miscellaneous,Milk - Excluding Butter,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Treenuts,Vegetal Products,Vegetable Oils,Vegetables,Obesity,Animal products total,Deaths
Serbia,Europe,4.0698,2.1213,0.3396,0.578,0.006,8.7594,0.2145,1.1262,0.0775,0.0834,0.0596,1.5016,0.9355,16.9646,10.1061,0.3635,23.5,52.6934,0.059105936
Sierra Leone,Africa,0.1678,3.2063,1.2117,0.261,0.0373,2.1996,0.0746,4.856,0.466,0.2889,0.4474,0.0746,0.0559,44.0022,34.0479,0.2703,7.5,8.3326,0.000990347
Slovakia,Europe,14.9373,2.0003,0.2331,0.1386,0.0095,3.2697,0.0851,0.7686,0.0221,0.0599,0.041,0.7655,0.4253,24.507,20.1474,0.1292,22.4,32.4609,0.094013182
Slovenia,Europe,10.0008,3.5771,0.3693,0.4606,0.0622,6.4155,0.112,0.8714,0.0415,0.1784,0.0539,2.411,1.5852,23.3878,13.8684,0.2697,22.5,36.3349,0.171754636
Solomon Islands,Oceania,3.4726,3.0802,2.5505,0.569,0.0981,0.7553,0.049,16.5686,0.5199,0.1962,2.1778,0.981,0.3139,36.3351,11.752,0.0785,20.5,20.5023,0
South Africa,Africa,0.8542,6.4308,0.2379,0.0854,0,3.1056,0.3295,1.1836,0.0427,0.1037,0.0549,0.2807,0.0915,30.2257,21.7877,0.1647,27,35.0214,0.077446837
Spain,Europe,2.4641,1.078,1.0814,0.375,0,5.3601,0.0937,1.0513,0.0971,0.0134,0.0469,0.4955,1.3626,30.4731,25.6922,0.2611,27.1,30.0546,0.128867429
Sri Lanka,Asia,0.3195,2.7159,2.2766,0.5791,0.01,4.2336,0.0999,27.1892,0.3794,1.4279,0.0899,0.1198,0.4194,39.8602,6.7,0.2396,5.4,13.33,0.001600036
Sudan,Africa,1.7092,5.6998,0.0587,0.3961,0.0073,10.8055,0.2641,3.7265,0.4108,0.1174,0.0587,0.0587,0,29.8489,19.0214,0.3521,7.4,27.4647,0.004175694
Suriname,South America,0.7849,3.1593,0.772,0.2335,0.1557,1.6867,0.0324,3.1139,0.0649,0.0584,0.1103,0.8823,0.1557,35.1281,26.9089,0.2789,26.5,26.4742,0.026446281
Sweden,Europe,9.7148,1.9481,0.8778,0.3556,0.0481,7.5926,0.0074,0.9519,0.0296,0.1111,0.0481,0.2333,0.9704,21.5852,16.663,0.2296,22.1,38.6333,0.116748579
Switzerland,Europe,6.2293,1.1241,0.4048,0.3379,0,8.3804,0.0703,0.5286,0.0268,0.0836,0.0368,0.174,1.9772,21.8962,17.3898,0.2141,21.2,41.126,0.111257818
Taiwan,Asia,2.6952,1.1629,0.4667,0.2956,0.0194,1.3223,0.07,2.8197,0.0506,0.105,0.0194,0.4823,0.6145,30.6783,24.8016,0.3111,,34.0852,3.81E-05
Tajikistan,Asia,0.0348,10.2035,0.0174,0.3566,0.0348,4.6799,0.2175,1.27,0.1131,0.0174,0.0783,1.1308,0.4175,37.3173,22.7557,0.9395,12.6,20.4158,0.000954502
Thailand,Asia,1.666,2.538,1.7984,0.506,0.0078,1.4636,0.0934,4.6166,0.1012,1.7594,0.0701,0.1246,0.2647,30.4165,20.2336,0.2102,10.8,34.13,0.000118736
Timorleste,Asia,2.0345,10.2168,0.7893,1.3007,0.1112,0.1779,0.0889,3.5353,0.2779,0.1445,0.1779,0.2001,0.0111,32.1067,15.9644,0.1668,2.9,32.6959,0
Togo,Africa,0.5351,8.9093,0.5708,0.0624,0.0803,0.544,0.0713,2.9608,0.8918,0.223,0.6064,0.1694,0,44.6892,30.643,0.1516,7.1,8.8914,0.000954222
Trinidad And Tobago,North America,5.3472,2.5134,0.7816,0.3205,0.1012,5.1279,0.0843,3.1993,0.343,0.4386,0.0843,0.4386,0.596,26.6573,18.4369,0.1799,19.7,35.35,0.009861213
